Player Name,Position,Team,Games Played,Solo Tackles,Assisted Tackles,Total Tackles,Interceptions,Interception Yards,Longest Interception,Interception Touchdowns,Fumbles,Fumbles Recovered,Fumble Touchdowns,Sacks,Passes Defended,Safeties
Jessie Bates III,FS,ATL,6,24,15,39,3,3,3,0,2,0,0,0.0,4,0
DaRon Bland,CB,DAL,6,17,4,21,3,86,54,2,0,0,0,0.0,7,0
Andre Cisco,FS,JAC,6,24,8,32,3,39,21,0,1,0,0,0.0,4,0
Jerry Jacobs,CB,DET,6,29,2,31,3,45,20,0,0,0,0,0.0,5,0
Steven Nelson,CB,HOU,6,20,4,24,3,33,33,0,0,0,0,0.0,5,0
Geno Stone,SAF,BAL,6,17,8,25,3,96,36,0,0,0,0,0.0,3,0
Jordan Whitehead,FS,NYJ,6,24,7,31,3,0,0,0,0,0,0,0.0,6,0
Darious Williams,DB,JAC,6,20,3,23,3,61,61,1,2,0,0,0.0,9,0
Terrel Bernard,LB,BUF,6,31,26,57,2,0,0,0,0,2,0,2.0,2,0
Tre Brown,CB,SEA,4,10,1,11,2,40,40,1,1,0,0,1.0,4,0
Dee Delaney,DB,TB,5,5,1,6,2,4,4,0,0,0,0,0.0,2,0
Rudy Ford,FS,GB,5,24,11,35,2,30,21,0,0,0,0,0.0,4,0
Kendall Fuller,CB,WAS,6,20,12,32,2,23,23,0,0,0,0,0.0,6,0
Stephon Gilmore,CB,DAL,6,20,3,23,2,0,0,0,0,0,0,0.0,6,0
Daxton Hill,SS,CIN,6,30,16,46,2,20,20,0,0,0,0,1.5,5,0
Talanoa Hufanga,SS,SF,6,18,6,24,2,36,28,0,0,0,0,0.0,2,0
Micah Hyde,SS,BUF,6,20,8,28,2,24,23,0,0,0,0,0.0,2,0
Christian Izien,DB,TB,5,18,6,24,2,18,14,0,0,0,0,0.0,2,0
Kareem Jackson,SS,DEN,6,26,11,37,2,5,5,0,0,0,0,0.0,2,0
Deommodore Lenoir,CB,SF,6,29,9,38,2,49,28,0,0,0,0,0.0,3,0
Matt Milano,OLB,BUF,5,18,12,30,2,16,13,0,1,0,0,0.0,2,0
Trevon Moehrig,FS,LV,6,24,5,29,2,41,25,0,0,0,0,1.0,4,0
Robert Spillane,LB,LV,6,25,24,49,2,28,24,0,0,0,0,1.0,2,0
Cam Taylor-Britt,CB,CIN,6,24,4,28,2,35,24,1,1,0,0,0.0,6,0
Levi Wallace,DB,PIT,5,18,3,21,2,0,0,0,0,0,0,0.0,7,0
Fred Warner,MLB,SF,6,32,16,48,2,44,32,0,1,0,0,2.0,4,0
Logan Wilson,LB,CIN,6,31,15,46,2,0,0,0,0,0,0,0.5,3,0
Ahkello Witherspoon,CB,LAR,6,11,1,12,2,0,0,0,0,1,0,0.0,4,0
Tony Adams,DB,NYJ,4,18,4,22,1,45,45,0,0,0,0,0.0,1,0
Shaquil Barrett,LB,TB,5,10,3,13,1,4,4,1,0,0,0,1.0,1,0
Vonn Bell,SS,CAR,5,21,12,33,1,11,11,0,0,0,0,0.0,2,0
Julian Blackmon,SS,IND,6,31,14,45,1,10,10,0,0,0,0,0.0,1,0
Nick Bolton,LB,KC,3,12,7,19,1,1,1,0,0,0,0,0.0,1,0
Brian Branch,CB,DET,4,21,4,25,1,50,50,1,0,0,0,0.0,4,0
Quandre Diggs,FS,SEA,5,17,5,22,1,21,21,0,0,0,0,0.0,1,0
A.J. Epenesa,DE,BUF,6,5,4,9,1,32,32,1,1,1,0,4.0,6,0
Kamu Grugier-Hill,OLB,CAR,6,17,8,25,1,31,31,0,0,0,0,1.0,1,0
Will Harris,CB,DET,6,11,4,15,1,0,0,0,0,1,0,0.0,2,0
Deion Jones,LB,CAR,2,6,1,7,1,0,0,0,0,0,0,0.0,1,0
Tyrann Mathieu,FS,NO,6,13,10,23,1,27,27,1,0,0,0,0.0,3,0
Joey Porter Jr.,CB,PIT,5,3,2,5,1,0,0,0,0,0,0,0.0,2,0
Germaine Pratt,LB,CIN,6,29,15,44,1,0,0,0,1,0,0,1.0,1,0
Darius Slay,CB,PHI,5,21,4,25,1,70,70,1,0,0,0,0.0,4,0
Greg Stroman,CB,CHI,5,12,7,19,1,0,0,0,0,0,0,1.0,1,0
K'Von Wallace,SS,ARI,6,26,17,43,1,2,2,0,0,0,0,0.0,4,0
Pete Werner,LB,NO,6,24,19,43,1,0,0,0,0,0,0,0.5,1,0
Kyzir White,OLB,ARI,6,32,23,55,1,0,0,0,0,0,0,2.0,1,0
Devin White,LB,TB,5,18,15,33,1,26,26,0,0,0,0,0.0,2,0
Tre'Davious White,CB,BUF,4,10,2,12,1,2,2,0,0,0,0,0.0,2,0
Devon Witherspoon,CB,SEA,4,20,7,27,1,97,97,1,0,0,0,2.0,7,0
