Player Name,Position,Team,Games Played,Pass Attempts,Pass Completions,Completion Percentage,Passing Yards,Passing Yards per Game,Longest Pass,Passing Touchdowns,Interceptions,Times Sacked,Yards Lost due to Sacks,Quarterback Rating
Tua Tagovailoa,QB,MIA,6,197,140,71.1,1876,312.7,69,14,5,6,42,114.1
Kirk Cousins,QB,MIN,6,235,158,67.2,1679,279.8,62,14,4,15,97,100.6
Matthew Stafford,QB,LAR,6,227,139,61.2,1677,279.5,49,6,5,16,124,83.5
C.J. Stroud,QB,HOU,6,213,127,59.6,1660,276.7,68,9,1,13,115,96.4
Jared Goff,QB,DET,6,203,141,69.5,1618,269.7,45,11,3,10,61,105.1
Patrick Mahomes,QB,KC,6,224,153,68.3,1593,265.5,54,11,5,6,41,95.7
Josh Allen,QB,BUF,6,205,147,71.7,1576,262.7,55,13,6,9,36,102.8
Jalen Hurts,QB,PHI,6,213,141,66.2,1542,257.0,63,7,7,14,72,84.7
Sam Howell,QB,WAS,6,214,145,67.8,1500,250.0,41,9,6,34,215,90.1
Trevor Lawrence,QB,JAC,6,210,141,67.1,1439,239.8,45,7,3,16,104,91.7
Brock Purdy,QB,SF,6,163,110,67.5,1396,232.7,42,10,1,11,59,111.9
Desmond Ridder,QB,ATL,6,203,130,64.0,1380,230.0,45,6,6,19,130,81.3
Justin Herbert,QB,LAC,5,182,125,68.7,1333,266.6,51,9,2,10,87,101.7
Dak Prescott,QB,DAL,6,190,132,69.5,1333,222.2,60,6,4,14,92,91.0
Russell Wilson,QB,DEN,6,185,122,65.9,1305,217.5,60,12,4,19,103,99.0
Derek Carr,QB,NO,6,200,130,65.0,1299,216.5,51,5,3,17,114,85.4
Lamar Jackson,QB,BAL,6,173,121,69.9,1253,208.8,52,5,3,16,87,93.0
Joe Burrow,QB,CIN,6,232,147,63.4,1230,205.0,63,7,4,14,111,79.8
Joshua Dobbs,QB,ARI,6,196,123,62.8,1215,202.5,69,6,3,11,71,84.0
Mac Jones,QB,NE,6,201,129,64.2,1208,201.3,58,5,7,12,81,74.4
Justin Fields,QB,CHI,6,162,100,61.7,1201,200.2,58,11,6,24,143,91.6
Geno Smith,QB,SEA,5,164,111,67.7,1169,233.8,36,5,3,11,93,90.7
Ryan Tannehill,QB,TEN,6,158,98,62.0,1128,188.0,70,2,6,19,135,71.9
Zach Wilson,QB,NYJ,6,182,110,60.4,1097,182.8,68,4,5,19,130,73.4
Baker Mayfield,QB,TB,5,162,106,65.4,1088,217.6,70,7,3,5,25,91.3
Jordan Love,QB,GB,5,162,90,55.6,1083,216.6,77,8,6,10,83,77.3
Jimmy Garoppolo,QB,LV,5,147,100,68.0,1079,215.8,32,7,8,7,52,82.6
Kenny Pickett,QB,PIT,5,159,95,59.7,1027,205.4,72,5,4,14,106,78.8
Bryce Young,QB,CAR,5,182,115,63.2,967,193.4,30,6,4,16,128,78.7
Daniel Jones,QB,NYG,5,151,104,68.9,884,176.8,58,2,6,28,150,71.7
Gardner Minshew,QB,IND,6,138,90,65.2,882,147.0,45,3,3,8,58,81.3
Deshaun Watson,QB,CLE,3,102,65,63.7,678,226.0,43,4,2,12,61,87.8
Anthony Richardson,QB,IND,4,84,50,59.5,577,144.3,39,3,1,7,29,87.3
Andy Dalton,QB,CAR,3,58,34,58.6,361,120.3,47,2,0,3,27,88.4
Tyrod Taylor,QB,NYG,5,51,35,68.6,292,58.4,31,0,0,4,18,83.1
Aidan O'Connell,QB,LV,1,39,24,61.5,238,238.0,25,0,1,7,50,68.1
P.J. Walker,QB,CLE,1,34,18,52.9,192,192.0,58,0,2,2,18,45.2
Dorian Thompson-Robinson,QB,CLE,2,36,19,52.8,121,60.5,16,0,3,4,48,25.3
Brian Hoyer,QB,LV,2,10,6,60.0,102,51.0,48,0,0,0,0,94.6
Jameis Winston,QB,NO,3,17,10,58.8,101,33.7,28,0,1,1,8,51.3
Tyson Bagent,QB,CHI,1,14,10,71.4,83,83.0,24,0,1,1,10,56.5
Bailey Zappe,QB,NE,2,18,7,38.9,79,39.5,22,0,0,1,7,52.8
Malik Willis,QB,TEN,2,5,4,80.0,74,37.0,48,0,0,4,30,118.8
Mike White,QB,MIA,2,3,2,66.7,67,33.5,68,1,1,0,0,109.7
Drew Lock,QB,SEA,1,6,2,33.3,63,63.0,51,0,0,0,0,73.6
Keenan Allen,WR,LAC,5,1,1,100.0,49,9.8,49,1,0,0,0,158.3
Blaine Gabbert,QB,KC,1,5,3,60.0,31,31.0,15,0,2,0,0,38.3
Cooper Rush,QB,DAL,3,5,4,80.0,28,9.3,13,0,0,1,8,90.0
Taysom Hill,QB,NO,6,3,3,100.0,25,4.2,13,0,0,1,3,101.4
Drake London,WR,ATL,6,1,1,100.0,22,3.7,22,0,0,0,0,118.8
