Player Name,Position,Team,Games Played,Receptions,Receiving Yards,Receiving Yards per Game,Average Yards per Reception,Longest Reception,Receiving Touchdowns
Tyreek Hill,WR,MIA,6,42,814,135.7,19.4,69,6
A.J. Brown,WR,PHI,6,42,672,112.0,16.0,59,2
Stefon Diggs,WR,BUF,6,49,620,103.3,12.7,55,5
Puka Nacua,WR,LAR,6,50,598,99.7,12.0,37,2
D.J. Moore,WR,CHI,6,32,582,97.0,18.2,58,5
Justin Jefferson,WR,MIN,5,36,571,114.2,15.9,52,3
Ja'Marr Chase,WR,CIN,6,50,556,92.7,11.1,63,3
Nico Collins,WR,HOU,6,29,547,91.2,18.9,52,3
Keenan Allen,WR,LAC,5,42,519,103.8,12.4,42,4
Adam Thielen,WR,CAR,6,49,509,84.8,10.4,30,4
CeeDee Lamb,WR,DAL,6,34,475,79.2,14.0,49,1
Davante Adams,WR,LV,6,39,471,78.5,12.1,32,3
Amon-Ra St. Brown,WR,DET,5,38,455,91.0,12.0,39,3
Brandon Aiyuk,WR,SF,5,25,454,90.8,18.2,42,2
Chris Olave,WR,NO,6,32,414,69.0,12.9,45,1
Michael Pittman,WR,IND,6,40,406,67.7,10.2,40,1
George Pickens,WR,PIT,5,22,393,78.6,17.9,71,2
Mike Evans,WR,TB,5,24,386,77.2,16.1,70,3
Christian Kirk,WR,JAC,6,33,384,64.0,11.6,45,2
DeAndre Hopkins,WR,TEN,6,27,376,62.7,13.9,38,0
Garrett Wilson,WR,NYJ,6,32,369,61.5,11.5,68,2
Amari Cooper,WR,CLE,5,22,367,73.4,16.7,58,1
Zay Flowers,WR,BAL,6,35,367,61.2,10.5,52,1
Calvin Ridley,WR,JAC,6,26,363,60.5,14.0,32,2
Travis Kelce,TE,KC,5,36,346,69.2,9.6,40,3
Terry McLaurin,WR,WAS,6,31,342,57.0,11.0,32,1
Gabe Davis,WR,BUF,6,21,341,56.8,16.2,40,4
Josh Reynolds,WR,DET,6,19,341,56.8,18.0,33,3
DK Metcalf,WR,SEA,5,22,337,67.4,15.3,34,2
Jakobi Meyers,WR,LV,5,30,335,67.0,11.2,25,4
Marquise Brown,WR,ARI,6,29,334,55.7,11.5,41,3
DeVonta Smith,WR,PHI,6,28,334,55.7,11.9,63,2
Chris Godwin,WR,TB,5,27,332,66.4,12.3,42,0
Drake London,WR,ATL,6,26,329,54.8,12.7,32,2
Michael Thomas,WR,NO,6,31,329,54.8,10.6,26,0
Sam LaPorta,TE,DET,6,29,325,54.2,11.2,45,3
Nathaniel Dell,WR,HOU,5,19,324,64.8,17.1,68,2
Michael Wilson,WR,ARI,6,18,317,52.8,17.6,69,2
Tutu Atwell,WR,LAR,6,25,309,51.5,12.4,44,2
Kendrick Bourne,WR,NE,6,28,307,51.2,11.0,36,2
T.J. Hockenson,TE,MIN,6,36,304,50.7,8.4,24,2
Deebo Samuel,WR,SF,6,20,302,50.3,15.1,42,1
Evan Engram,TE,JAC,6,36,301,50.2,8.4,28,0
Rashid Shaheed,WR,NO,6,16,298,49.7,18.6,51,2
Jaylen Waddle,WR,MIA,5,24,296,59.2,12.3,35,2
Mark Andrews,TE,BAL,5,24,294,58.8,12.3,38,3
Curtis Samuel,WR,WAS,6,27,285,47.5,10.6,37,2
Jonnu Smith,TE,ATL,6,25,282,47.0,11.3,33,1
Darren Waller,TE,NYG,6,28,282,47.0,10.1,25,0
Jordan Addison,WR,MIN,6,22,277,46.2,12.6,62,4
