Player Name,Position,Team,Games Played,Rushing Attempts,Rushing Yards,Rushing Yards per Game,Average Yards per Rush,Rushing Touchdowns,Longest Rush
Christian McCaffrey,RB,SF,6,110,553,92.2,5.0,7,65
Zack Moss,RB,IND,5,96,466,93.2,4.9,4,56
De'Von Achane,RB,MIA,4,38,460,115.0,12.1,5,76
Kyren Williams,RB,LAR,6,97,456,76.0,4.7,6,31
D'Andre Swift,RB,PHI,6,86,452,75.3,5.3,2,43
Travis Etienne,RB,JAC,6,113,451,75.2,4.0,5,35
Raheem Mostert,RB,MIA,6,75,429,71.5,5.7,9,49
Breece Hall,RB,NYJ,6,66,426,71.0,6.5,2,83
Derrick Henry,RB,TEN,6,98,425,70.8,4.3,3,63
Bijan Robinson,RB,ATL,6,80,401,66.8,5.0,0,38
Isiah Pacheco,RB,KC,6,87,387,64.5,4.5,3,48
David Montgomery,RB,DET,5,94,385,77.0,4.1,6,42
Tony Pollard,RB,DAL,6,96,370,61.7,3.9,2,31
Joe Mixon,RB,CIN,6,96,366,61.0,3.8,1,22
James Conner,RB,ARI,5,68,364,72.8,5.4,2,35
James Cook,RB,BUF,6,75,363,60.5,4.8,1,36
Kenneth Walker III,RB,SEA,5,83,345,69.0,4.2,6,36
Lamar Jackson,QB,BAL,6,60,327,54.5,5.5,4,26
Alexander Mattison,RB,MIN,6,82,320,53.3,3.9,0,17
Josh Jacobs,RB,LV,6,107,312,52.0,2.9,2,24
Brian Robinson Jr.,RB,WAS,6,77,302,50.3,3.9,3,27
Gus Edwards,RB,BAL,6,72,282,47.0,3.9,1,20
Dameon Pierce,RB,HOU,6,97,281,46.8,2.9,1,15
Khalil Herbert,RB,CHI,5,51,272,54.4,5.3,0,34
Jerome Ford,RB,CLE,5,67,270,54.0,4.0,1,69
Jalen Hurts,QB,PHI,6,63,253,42.2,4.0,5,24
Najee Harris,RB,PIT,5,63,247,49.4,3.9,0,24
Tyler Allgeier,RB,ATL,6,75,242,40.3,3.2,2,22
Chuba Hubbard,RB,CAR,6,54,242,40.3,4.5,1,21
Justin Fields,QB,CHI,6,47,237,39.5,5.0,1,20
Rhamondre Stevenson,RB,NE,6,78,234,39.0,3.0,2,15
Rachaad White,RB,TB,5,70,232,46.4,3.3,1,13
Joshua Kelley,RB,LAC,5,58,209,41.8,3.6,1,22
Saquon Barkley,RB,NYG,3,53,207,69.0,3.9,1,34
Alvin Kamara,RB,NO,3,52,199,66.3,3.8,1,13
Daniel Jones,QB,NYG,5,38,197,39.4,5.2,1,17
A.J. Dillon,RB,GB,5,64,194,38.8,3.0,1,14
Ezekiel Elliott,RB,NE,6,49,193,32.2,3.9,1,14
Jaleel McLaughlin,RB,DEN,6,29,190,31.7,6.6,1,38
Miles Sanders,RB,CAR,5,61,190,38.0,3.1,1,15
Javonte Williams,RB,DEN,5,48,190,38.0,4.0,0,18
Joshua Dobbs,QB,ARI,6,34,189,31.5,5.6,1,44
Patrick Mahomes,QB,KC,6,29,185,30.8,6.4,0,25
Jahmyr Gibbs,RB,DET,4,39,179,44.8,4.6,0,21
Tyjae Spears,RB,TEN,6,31,171,28.5,5.5,1,22
Nick Chubb,RB,CLE,2,28,170,85.0,6.1,0,20
Devin Singletary,RB,HOU,6,39,153,25.5,3.9,0,17
Justice Hill,RB,BAL,5,37,150,30.0,4.1,3,15
Russell Wilson,QB,DEN,6,22,150,25.0,6.8,0,21
Trevor Lawrence,QB,JAC,6,33,147,24.5,4.5,0,22
